RISE LIMIT,SINK LIMIT,COOL-OFF SPAN,GRAND PERCENT CHANGE
5,8,8,46
5,8,14,39
5,8,23,35
5,8,37,26
5,8,61,21
5,8,100,16
5,14,1,63
5,14,2,61
5,14,3,61
5,14,5,57
5,14,8,55
5,14,14,50
5,14,23,44
5,14,37,35
5,14,61,29
5,14,100,23
5,23,1,63
5,23,2,63
5,23,3,62
5,23,5,61
5,23,8,58
5,23,14,55
5,23,23,49
5,23,37,41
5,23,61,34
5,23,100,25
5,37,1,63
5,37,2,62
5,37,3,62
5,37,5,60
5,37,8,59
5,37,14,56
5,37,23,51
5,37,37,45
5,37,61,38
5,37,100,28
5,61,1,61
5,61,2,61
5,61,3,61
5,61,5,60
5,61,8,58
5,61,14,56
5,61,23,52
5,61,37,46
5,61,61,38
5,61,100,30
5,100,1,60
5,100,2,59
5,100,3,59
5,100,5,58
5,100,8,57
5,100,14,55
5,100,23,51
5,100,37,46
5,100,61,39
5,100,100,30
8,1,1,55
8,1,2,52
8,1,3,44
8,1,5,38
8,1,8,29
8,1,14,19
8,1,23,17
8,1,37,9
8,1,61,4
8,1,100,7
8,2,1,61
8,2,2,54
8,2,3,48
8,2,5,42
8,2,8,35
8,2,14,23
8,2,23,22
8,2,37,15
8,2,61,9
8,2,100,6
8,3,1,62
8,3,2,56
8,3,3,50
8,3,5,46
8,3,8,39
8,3,14,28
8,3,23,26
8,3,37,19
8,3,61,14
8,3,100,8
8,5,1,63
8,5,2,58
8,5,3,54
8,5,5,53
8,5,8,46
8,5,14,36
8,5,23,33
8,5,37,26
8,5,61,20
8,5,100,16
8,8,1,65
8,8,2,59
8,8,3,59
8,8,5,57
8,8,8,52
8,8,14,44
8,8,23,40
8,8,37,32
8,8,61,27
8,8,100,22
8,14,1,65
8,14,2,63
8,14,3,61
8,14,5,61
8,14,8,59
8,14,14,53
8,14,23,50
8,14,37,42
8,14,61,37
8,14,100,28
8,23,1,64
8,23,2,63
8,23,3,62
8,23,5,63
8,23,8,61
8,23,14,58
8,23,23,54
8,23,37,47
8,23,61,41
8,23,100,33
8,37,1,64
8,37,2,63
8,37,3,63
8,37,5,63
8,37,8,62
8,37,14,60
8,37,23,55
8,37,37,50
8,37,61,43
8,37,100,35
8,61,1,62
8,61,2,62
8,61,3,62
8,61,5,62
8,61,8,61
8,61,14,59
8,61,23,56
8,61,37,51
8,61,61,45
8,61,100,37
8,100,1,60
8,100,2,60
8,100,3,60
8,100,5,60
8,100,8,59
8,100,14,58
8,100,23,55
8,100,37,51
8,100,61,45
8,100,100,37
14,1,1,61
14,1,2,58
14,1,3,49
14,1,5,45
14,1,8,35
14,1,14,28
14,1,23,22
14,1,37,15
14,1,61,8
14,1,100,7
14,2,1,64
14,2,2,59
14,2,3,54
14,2,5,49
14,2,8,43
14,2,14,35
14,2,23,29
14,2,37,23
14,2,61,14
14,2,100,11
14,3,1,64
14,3,2,61
14,3,3,57
14,3,5,53
14,3,8,47
14,3,14,36
14,3,23,35
14,3,37,25
14,3,61,18
14,3,100,13
14,5,1,67
14,5,2,63
14,5,3,61
14,5,5,57
14,5,8,53
14,5,14,42
14,5,23,42
14,5,37,34
14,5,61,28
14,5,100,19
14,8,1,67
14,8,2,64
14,8,3,63
14,8,5,61
14,8,8,57
14,8,14,50
14,8,23,50
14,8,37,40
14,8,61,35
14,8,100,29
14,14,1,68
14,14,2,65
14,14,3,65
14,14,5,64
14,14,8,62
14,14,14,59
14,14,23,58
14,14,37,48
14,14,61,43
14,14,100,39
14,23,1,67
14,23,2,66
14,23,3,66
14,23,5,65
14,23,8,64
14,23,14,62
14,23,23,61
14,23,37,55
14,23,61,48
14,23,100,43
14,37,1,66
14,37,2,65
14,37,3,65
14,37,5,65
14,37,8,63
14,37,14,62
14,37,23,61
14,37,37,56
14,37,61,49
14,37,100,45
14,61,1,64
14,61,2,64
14,61,3,64
14,61,5,64
14,61,8,63
14,61,14,62
14,61,23,60
14,61,37,56
14,61,61,50
14,61,100,46
14,100,1,63
14,100,2,62
14,100,3,62
14,100,5,62
14,100,8,61
14,100,14,60
14,100,23,59
14,100,37,56
14,100,61,50
14,100,100,46
23,1,1,64
23,1,2,62
23,1,3,58
23,1,5,51
23,1,8,41
23,1,14,36
23,1,23,31
23,1,37,22
23,1,61,13
23,1,100,14
23,2,1,66
23,2,2,64
23,2,3,59
23,2,5,54
23,2,8,49
23,2,14,40
23,2,23,37
23,2,37,29
23,2,61,21
23,2,100,16
23,3,1,67
23,3,2,65
23,3,3,61
23,3,5,58
23,3,8,53
23,3,14,44
23,3,23,43
23,3,37,34
23,3,61,27
23,3,100,20
23,5,1,68
23,5,2,66
23,5,3,65
23,5,5,62
23,5,8,59
23,5,14,51
23,5,23,50
23,5,37,40
23,5,61,34
23,5,100,29
23,8,1,70
23,8,2,67
23,8,3,66
23,8,5,64
23,8,8,62
23,8,14,57
23,8,23,56
23,8,37,48
23,8,61,42
23,8,100,38
23,14,1,68
23,14,2,67
23,14,3,67
23,14,5,66
23,14,8,66
23,14,14,62
23,14,23,61
23,14,37,54
23,14,61,49
23,14,100,46
23,23,1,68
23,23,2,68
23,23,3,68
23,23,5,67
23,23,8,66
23,23,14,65
23,23,23,63
23,23,37,58
23,23,61,53
23,23,100,50
23,37,1,67
23,37,2,66
23,37,3,67
23,37,5,66
23,37,8,66
23,37,14,66
23,37,23,64
23,37,37,61
23,37,61,56
23,37,100,53
23,61,1,65
23,61,2,65
23,61,3,66
23,61,5,65
23,61,8,66
23,61,14,65
